filename, delta_mean, delta_max
MAPS_MUS-alb_esp2_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-alb_esp2_AkPnStgb.mid, 0.0, 0
MAPS_MUS-alb_esp2_SptkBGAm.mid, 0.0, 0
MAPS_MUS-alb_esp2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-alb_esp3_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-alb_esp4_AkPnStgb.mid, 0.0, 0
MAPS_MUS-alb_esp5_SptkBGCl.mid, 0.0, 0
MAPS_MUS-alb_esp6_SptkBGCl.mid, 0.002686366689053056, 1
MAPS_MUS-alb_se2_ENSTDkCl.mid, 1.3852794184461608, 8
MAPS_MUS-alb_se2_StbgTGd2.mid, 0.005452067242162653, 1
MAPS_MUS-alb_se3_AkPnBcht.mid, 0.0006898930665746809, 2
MAPS_MUS-alb_se3_AkPnBsdf.mid, 0.0006898930665746809, 2
MAPS_MUS-alb_se4_AkPnBsdf.mid, 0.0035070140280561123, 4
MAPS_MUS-alb_se6_AkPnStgb.mid, 0.00031496062992125983, 1
MAPS_MUS-alb_se7_AkPnBsdf.mid, 0.09882139619220308, 1
MAPS_MUS-alb_se8_SptkBGAm.mid, 0.008683729433272395, 1
MAPS_MUS-appass_1_AkPnBsdf.mid, 0.37903984938813934, 120
MAPS_MUS-appass_1_SptkBGCl.mid, 0.37903984938813934, 120
MAPS_MUS-appass_3_AkPnStgb.mid, 0.13500415397396842, 60
MAPS_MUS-bach_846_AkPnBcht.mid, 0.00078003120124805, 1
MAPS_MUS-bach_846_SptkBGAm.mid, 0.00078003120124805, 1
MAPS_MUS-bach_847_AkPnBcht.mid, 0.0032520325203252032, 3
MAPS_MUS-bach_847_AkPnStgb.mid, 0.0032520325203252032, 3
MAPS_MUS-bach_847_SptkBGCl.mid, 0.0032520325203252032, 3
MAPS_MUS-bach_850_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-bk_xmas1_AkPnBsdf.mid, 0.01911544227886057, 2
MAPS_MUS-bk_xmas1_AkPnStgb.mid, 0.01911544227886057, 2
MAPS_MUS-bk_xmas1_ENSTDkAm.mid, 0.36094452773613195, 5
MAPS_MUS-bk_xmas1_ENSTDkCl.mid, 0.3748125937031484, 5
MAPS_MUS-bk_xmas1_StbgTGd2.mid, 0.01911544227886057, 2
MAPS_MUS-bk_xmas2_AkPnStgb.mid, 0.0, 0
MAPS_MUS-bk_xmas2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-bk_xmas3_AkPnStgb.mid, 0.006717627982395182, 1
MAPS_MUS-bk_xmas4_ENSTDkCl.mid, 0.9700948212983224, 6
MAPS_MUS-bk_xmas4_SptkBGCl.mid, 0.0, 0
MAPS_MUS-bk_xmas4_StbgTGd2.mid, 0.0, 0
MAPS_MUS-bk_xmas5_AkPnBcht.mid, 0.0, 0
MAPS_MUS-bk_xmas5_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-bk_xmas5_ENSTDkCl.mid, 0.9031966224366706, 7
MAPS_MUS-bk_xmas5_StbgTGd2.mid, 0.0, 0
MAPS_MUS-bor_ps1_AkPnCGdD.mid, 0.0061162079510703364, 1
MAPS_MUS-bor_ps2_SptkBGAm.mid, 0.01282051282051282, 1
MAPS_MUS-bor_ps5_AkPnStgb.mid, 0.0, 0
MAPS_MUS-bor_ps6_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-bor_ps6_ENSTDkCl.mid, 0.7575392038600723, 4
MAPS_MUS-bor_ps6_StbgTGd2.mid, 0.0, 0
MAPS_MUS-br_im2_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-br_im2_SptkBGAm.mid, 0.0, 0
MAPS_MUS-br_im5_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-br_im5_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-br_im5_SptkBGCl.mid, 0.0, 0
MAPS_MUS-br_im6_AkPnStgb.mid, 0.0, 0
MAPS_MUS-burg_perlen_SptkBGCl.mid, 0.809375, 180
MAPS_MUS-burg_quelle_SptkBGAm.mid, 0.0, 0
MAPS_MUS-chp_op18_AkPnCGdD.mid, 0.22511902063024258, 1
MAPS_MUS-chp_op31_AkPnBcht.mid, 0.20899781769346987, 60
MAPS_MUS-chp_op31_AkPnStgb.mid, 0.20899781769346987, 60
MAPS_MUS-chpn-p10_AkPnStgb.mid, 0.18691588785046728, 60
MAPS_MUS-chpn-p11_AkPnCGdD.mid, 0.0125, 4
MAPS_MUS-chpn-p12_AkPnBcht.mid, 0.004111842105263158, 1
MAPS_MUS-chpn-p13_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p13_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p14_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p14_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p14_ENSTDkAm.mid, 0.9539170506912442, 6
MAPS_MUS-chpn-p15_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p15_ENSTDkAm.mid, 0.8682476943346509, 6
MAPS_MUS-chpn-p16_AkPnStgb.mid, 0.15108514190317196, 90
MAPS_MUS-chpn-p19_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-chpn-p19_ENSTDkCl.mid, 1.4090541632983022, 12
MAPS_MUS-chpn-p19_StbgTGd2.mid, 0.0, 0
MAPS_MUS-chpn-p1_AkPnBcht.mid, 0.0856269113149847, 27
MAPS_MUS-chpn-p1_AkPnBsdf.mid, 0.0856269113149847, 27
MAPS_MUS-chpn-p20_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p21_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-chpn-p24_AkPnBcht.mid, 0.7092768444119796, 240
MAPS_MUS-chpn-p2_SptkBGCl.mid, 0.005847953216374269, 1
MAPS_MUS-chpn-p3_AkPnBcht.mid, 0.16440422322775264, 43
MAPS_MUS-chpn-p4_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p4_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-chpn-p4_ENSTDkAm.mid, 0.7334437086092715, 4
MAPS_MUS-chpn-p6_SptkBGAm.mid, 0.009876543209876543, 1
MAPS_MUS-chpn-p6_SptkBGCl.mid, 0.009876543209876543, 1
MAPS_MUS-chpn-p7_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p7_SptkBGCl.mid, 0.0, 0
MAPS_MUS-chpn-p8_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p9_AkPnBsdf.mid, 0.22760290556900725, 60
MAPS_MUS-chpn_op10_e01_AkPnCGdD.mid, 0.016454749439042633, 1
MAPS_MUS-chpn_op10_e05_SptkBGAm.mid, 0.009208103130755065, 5
MAPS_MUS-chpn_op10_e12_AkPnCGdD.mid, 0.07710727969348659, 8
MAPS_MUS-chpn_op25_e2_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn_op25_e3_ENSTDkAm.mid, 1.3167554766133807, 10
MAPS_MUS-chpn_op25_e3_SptkBGAm.mid, 0.035523978685612786, 60
MAPS_MUS-chpn_op25_e4_ENSTDkAm.mid, 3.118508655126498, 12
MAPS_MUS-chpn_op27_1_AkPnCGdD.mid, 0.08756889161053276, 1
MAPS_MUS-chpn_op27_2_AkPnStgb.mid, 0.0, 0
MAPS_MUS-chpn_op27_2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-chpn_op33_2_ENSTDkAm.mid, 2.2214174857734093, 12
MAPS_MUS-chpn_op33_2_SptkBGAm.mid, 0.10967408173823073, 1
MAPS_MUS-chpn_op33_4_SptkBGAm.mid, 0.04942263279445727, 1
MAPS_MUS-chpn_op35_1_ENSTDkAm.mid, 1.416072701354241, 10
MAPS_MUS-chpn_op35_3_AkPnStgb.mid, 0.002152389151958674, 2
MAPS_MUS-chpn_op66_AkPnBcht.mid, 0.12344057780695995, 96
MAPS_MUS-chpn_op66_ENSTDkAm.mid, 0.5364412344057781, 96
MAPS_MUS-chpn_op7_1_ENSTDkAm.mid, 1.0235964198535394, 8
MAPS_MUS-chpn_op7_2_SptkBGAm.mid, 0.041425020712510356, 1
MAPS_MUS-deb_clai_ENSTDkCl.mid, 0.9959568733153639, 208
MAPS_MUS-deb_clai_StbgTGd2.mid, 0.1522911051212938, 221
MAPS_MUS-deb_menu_ENSTDkCl.mid, 0.7309358752166378, 5
MAPS_MUS-deb_menu_StbgTGd2.mid, 0.0, 0
MAPS_MUS-deb_pass_SptkBGAm.mid, 0.14365671641791045, 1
MAPS_MUS-gra_esp_2_AkPnStgb.mid, 0.0014255167498218105, 1
MAPS_MUS-gra_esp_3_SptkBGAm.mid, 0.15432098765432098, 1
MAPS_MUS-gra_esp_3_SptkBGCl.mid, 0.15432098765432098, 1
MAPS_MUS-gra_esp_4_AkPnBcht.mid, 0.0, 0
MAPS_MUS-grieg_butterfly_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-grieg_butterfly_ENSTDkAm.mid, 0.4610458911419424, 5
MAPS_MUS-grieg_butterfly_ENSTDkCl.mid, 0.4226254002134472, 6
MAPS_MUS-grieg_butterfly_StbgTGd2.mid, 0.0, 0
MAPS_MUS-grieg_elfentanz_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-grieg_elfentanz_SptkBGAm.mid, 0.0, 0
MAPS_MUS-grieg_halling_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-grieg_kobold_AkPnCGdD.mid, 0.000689655172413793, 1
MAPS_MUS-grieg_kobold_AkPnStgb.mid, 0.000689655172413793, 1
MAPS_MUS-grieg_kobold_ENSTDkAm.mid, 2.0448275862068965, 13
MAPS_MUS-grieg_waechter_AkPnBcht.mid, 0.0, 0
MAPS_MUS-grieg_walzer_AkPnBcht.mid, 0.0, 0
MAPS_MUS-grieg_walzer_SptkBGCl.mid, 0.0, 0
MAPS_MUS-grieg_wanderer_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-grieg_wanderer_SptkBGAm.mid, 0.0, 0
MAPS_MUS-grieg_zwerge_AkPnBcht.mid, 0.13309024612579762, 1
MAPS_MUS-hay_40_1_AkPnBcht.mid, 0.005386565272496832, 6
MAPS_MUS-liz_et1_SptkBGAm.mid, 0.023465703971119134, 53
MAPS_MUS-liz_et2_AkPnStgb.mid, 0.1585040071237756, 16
MAPS_MUS-liz_et2_SptkBGAm.mid, 0.1585040071237756, 16
MAPS_MUS-liz_et3_AkPnStgb.mid, 0.05483091787439614, 60
MAPS_MUS-liz_et4_SptkBGCl.mid, 0.0335195530726257, 1
MAPS_MUS-liz_et5_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-liz_et6_AkPnBsdf.mid, 0.01730214674783723, 1
MAPS_MUS-liz_et6_AkPnCGdD.mid, 0.01730214674783723, 1
MAPS_MUS-liz_et6_ENSTDkCl.mid, 1.0720922781159885, 10
MAPS_MUS-liz_et6_StbgTGd2.mid, 0.01730214674783723, 1
MAPS_MUS-liz_et_trans4_SptkBGAm.mid, 0.12287655719139298, 26
MAPS_MUS-liz_et_trans5_AkPnCGdD.mid, 0.0058545372663814455, 4
MAPS_MUS-liz_et_trans5_ENSTDkCl.mid, 0.8018464309840126, 6
MAPS_MUS-liz_et_trans5_StbgTGd2.mid, 0.0058545372663814455, 4
MAPS_MUS-liz_rhap02_AkPnCGdD.mid, 0.16760521636040307, 30
MAPS_MUS-liz_rhap02_ENSTDkAm.mid, 1.5838767042086543, 29
MAPS_MUS-liz_rhap09_ENSTDkAm.mid, 1.3314225549836218, 14
MAPS_MUS-liz_rhap09_ENSTDkCl.mid, 1.300421151146467, 14
MAPS_MUS-liz_rhap09_SptkBGCl.mid, 0.08423022929340196, 7
MAPS_MUS-liz_rhap09_StbgTGd2.mid, 0.08423022929340196, 7
MAPS_MUS-liz_rhap10_AkPnBsdf.mid, 0.062042124542124544, 7
MAPS_MUS-liz_rhap12_ENSTDkAm.mid, 1.1275314723590586, 63
MAPS_MUS-mendel_op53_5_AkPnCGdD.mid, 0.02765486725663717, 1
MAPS_MUS-mendel_op62_5_ENSTDkAm.mid, 0.6316872427983539, 4
MAPS_MUS-mendel_op62_5_SptkBGAm.mid, 0.0, 0
MAPS_MUS-mond_1_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-mond_1_SptkBGAm.mid, 0.0, 0
MAPS_MUS-mond_2_SptkBGAm.mid, 0.0761478163493841, 1
MAPS_MUS-mond_2_SptkBGCl.mid, 0.0761478163493841, 1
MAPS_MUS-mond_3_AkPnStgb.mid, 0.23207720588235295, 121
MAPS_MUS-mos_op36_6_AkPnBsdf.mid, 0.0013726835964310226, 1
MAPS_MUS-muss_1_ENSTDkAm.mid, 1.2361111111111112, 9
MAPS_MUS-muss_2_AkPnCGdD.mid, 0.0007293946024799417, 1
MAPS_MUS-muss_3_SptkBGCl.mid, 0.0024600246002460025, 1
MAPS_MUS-muss_4_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-muss_5_AkPnBcht.mid, 0.0, 0
MAPS_MUS-mz_311_1_ENSTDkCl.mid, 0.8205387205387206, 13
MAPS_MUS-mz_311_1_StbgTGd2.mid, 0.06936026936026936, 7
MAPS_MUS-mz_330_1_SptkBGCl.mid, 0.4492417860151643, 40
MAPS_MUS-mz_331_1_SptkBGCl.mid, 0.1277625423455396, 120
MAPS_MUS-mz_331_2_AkPnBcht.mid, 0.05520328235732935, 40
MAPS_MUS-mz_331_2_AkPnBsdf.mid, 0.05520328235732935, 40
MAPS_MUS-mz_331_2_ENSTDkCl.mid, 0.8090264826557255, 40
MAPS_MUS-mz_331_2_StbgTGd2.mid, 0.05520328235732935, 40
MAPS_MUS-mz_331_3_AkPnBsdf.mid, 0.24547069271758437, 60
MAPS_MUS-mz_331_3_ENSTDkCl.mid, 1.221669626998224, 62
MAPS_MUS-mz_331_3_StbgTGd2.mid, 0.24547069271758437, 60
MAPS_MUS-mz_332_1_AkPnBsdf.mid, 0.1257390618841151, 9
MAPS_MUS-mz_332_2_ENSTDkCl.mid, 0.5545914678235719, 121
MAPS_MUS-mz_332_2_StbgTGd2.mid, 0.0918293564714389, 120
MAPS_MUS-mz_333_1_AkPnStgb.mid, 1.0995293707512637, 180
MAPS_MUS-mz_333_2_AkPnCGdD.mid, 0.019224047535826634, 26
MAPS_MUS-mz_333_2_ENSTDkCl.mid, 0.34253757427472914, 25
MAPS_MUS-mz_333_2_StbgTGd2.mid, 0.019224047535826634, 26
MAPS_MUS-mz_333_3_ENSTDkCl.mid, 1.493563579277865, 144
MAPS_MUS-mz_333_3_StbgTGd2.mid, 0.9513343799058085, 144
MAPS_MUS-mz_545_3_ENSTDkCl.mid, 0.659729448491155, 6
MAPS_MUS-mz_545_3_StbgTGd2.mid, 0.0, 0
MAPS_MUS-mz_570_1_ENSTDkCl.mid, 0.8824817518248175, 8
MAPS_MUS-mz_570_1_StbgTGd2.mid, 0.16447688564476887, 1
MAPS_MUS-pathetique_1_ENSTDkCl.mid, 1.175887001849672, 61
MAPS_MUS-pathetique_1_SptkBGCl.mid, 0.24533378173869178, 61
MAPS_MUS-pathetique_1_StbgTGd2.mid, 0.24533378173869178, 61
MAPS_MUS-pathetique_2_ENSTDkAm.mid, 0.2869352869352869, 6
MAPS_MUS-pathetique_3_ENSTDkAm.mid, 1.269311064718163, 12
MAPS_MUS-schu_143_1_AkPnBcht.mid, 0.05536130536130536, 1
MAPS_MUS-schu_143_1_ENSTDkAm.mid, 1.9605672105672105, 12
MAPS_MUS-schu_143_2_AkPnCGdD.mid, 1.1963470319634704, 40
MAPS_MUS-schu_143_3_ENSTDkCl.mid, 1.523725316828765, 13
MAPS_MUS-schu_143_3_StbgTGd2.mid, 0.11464780430297672, 1
MAPS_MUS-schub_d760_1_AkPnBcht.mid, 0.05038593481989708, 1
MAPS_MUS-schub_d760_3_ENSTDkAm.mid, 1.6825224245718946, 16
MAPS_MUS-schub_d960_3_AkPnCGdD.mid, 0.005082592121982211, 1
MAPS_MUS-schub_d960_3_AkPnStgb.mid, 0.005082592121982211, 1
MAPS_MUS-schub_d960_3_SptkBGCl.mid, 0.005082592121982211, 1
MAPS_MUS-schuim-1_AkPnStgb.mid, 0.057924376508447305, 96
MAPS_MUS-schuim-1_ENSTDkCl.mid, 1.1973049074818987, 97
MAPS_MUS-schuim-1_StbgTGd2.mid, 0.057924376508447305, 96
MAPS_MUS-schuim-3_AkPnStgb.mid, 3.184496124031008, 384
MAPS_MUS-schumm-1_AkPnStgb.mid, 0.0007561436672967864, 1
MAPS_MUS-schumm-1_ENSTDkAm.mid, 1.2011342155009452, 7
MAPS_MUS-schumm-2_SptkBGAm.mid, 0.0, 0
MAPS_MUS-schumm-3_AkPnStgb.mid, 0.0, 0
MAPS_MUS-schumm-6_AkPnBcht.mid, 0.03420523138832998, 1
MAPS_MUS-scn15_11_ENSTDkAm.mid, 0.9037433155080213, 6
MAPS_MUS-scn15_11_ENSTDkCl.mid, 0.93048128342246, 7
MAPS_MUS-scn15_11_StbgTGd2.mid, 0.0, 0
MAPS_MUS-scn15_12_ENSTDkCl.mid, 0.38405797101449274, 3
MAPS_MUS-scn15_12_StbgTGd2.mid, 0.0, 0
MAPS_MUS-scn15_13_AkPnStgb.mid, 0.016877637130801686, 1
MAPS_MUS-scn15_2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-scn15_3_AkPnBcht.mid, 0.0075, 1
MAPS_MUS-scn15_5_SptkBGCl.mid, 0.0, 0
MAPS_MUS-scn15_6_ENSTDkAm.mid, 2.2655172413793103, 8
MAPS_MUS-scn15_7_AkPnBcht.mid, 0.0, 0
MAPS_MUS-scn15_7_SptkBGAm.mid, 0.0, 0
MAPS_MUS-scn15_9_ENSTDkAm.mid, 2.115523465703971, 11
MAPS_MUS-scn16_2_AkPnBcht.mid, 0.0, 0
MAPS_MUS-scn16_2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-scn16_3_ENSTDkCl.mid, 0.6121614716402657, 21
MAPS_MUS-scn16_3_StbgTGd2.mid, 0.08737864077669903, 20
MAPS_MUS-scn16_4_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-scn16_4_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-scn16_4_ENSTDkAm.mid, 0.22122571001494767, 2
MAPS_MUS-scn16_4_ENSTDkCl.mid, 0.2556053811659193, 1
MAPS_MUS-scn16_4_SptkBGCl.mid, 0.0, 0
MAPS_MUS-scn16_4_StbgTGd2.mid, 0.0, 0
MAPS_MUS-scn16_5_SptkBGAm.mid, 0.11275314723590586, 1
MAPS_MUS-scn16_7_SptkBGAm.mid, 0.035182679296346414, 26
MAPS_MUS-ty_dezember_AkPnBsdf.mid, 0.20491803278688525, 1
MAPS_MUS-ty_februar_AkPnCGdD.mid, 0.03087388801674516, 1
MAPS_MUS-ty_februar_SptkBGCl.mid, 0.03087388801674516, 1
MAPS_MUS-ty_januar_AkPnStgb.mid, 0.0006702412868632708, 1
MAPS_MUS-ty_juli_AkPnBcht.mid, 0.0, 0
MAPS_MUS-ty_juli_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-ty_juni_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-ty_maerz_ENSTDkAm.mid, 0.16750418760469013, 2
MAPS_MUS-ty_maerz_ENSTDkCl.mid, 0.22278056951423786, 2
MAPS_MUS-ty_maerz_StbgTGd2.mid, 0.0033500837520938024, 1
MAPS_MUS-ty_mai_AkPnBcht.mid, 0.0, 0
MAPS_MUS-ty_mai_ENSTDkAm.mid, 0.5064805583250249, 5
MAPS_MUS-ty_mai_ENSTDkCl.mid, 0.4795613160518445, 5
MAPS_MUS-ty_mai_SptkBGAm.mid, 0.0, 0
MAPS_MUS-ty_mai_StbgTGd2.mid, 0.0, 0
MAPS_MUS-ty_november_ENSTDkAm.mid, 1.088012958963283, 10
MAPS_MUS-ty_november_SptkBGCl.mid, 0.0275377969762419, 1
MAPS_MUS-ty_oktober_SptkBGAm.mid, 0.0, 0
MAPS_MUS-ty_september_AkPnStgb.mid, 0.030044843049327353, 1
MAPS_MUS-ty_september_SptkBGAm.mid, 0.030044843049327353, 1
MAPS_MUS-waldstein_1_AkPnBsdf.mid, 0.17639505019845902, 48
MAPS_MUS-waldstein_1_AkPnStgb.mid, 0.17639505019845902, 48
MAPS_MUS-waldstein_1_ENSTDkAm.mid, 1.2368666822320804, 44
MAPS_MUS-waldstein_2_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-waldstein_3_SptkBGCl.mid, 2.0236670293797605, 81
